Symbol,Previous,Estimate,Reported,Next,Guidance,06-11,06-10,06-09,06-06,06-05,06-04,06-03,06-02,06-01_x,06-01_y,05-31,05-25
JPM,2025-04-11,4.61,4.91,2025-07-15,,4.42,4.42,4.42,4.43,4.43,4.43,4.43,4.42,4.42,4.42,4.42,4.42
TLRY,2025-04-08,-0.04,-0.1,2025-07-28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLK,2025-04-11,10.14,11.3,2025-07-14,,10.63,10.63,10.63,10.57,10.57,10.54,10.53,10.53,10.53,10.53,10.53,10.51
LEVI,2025-04-07,0.28,0.38,2025-06-24,,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
WBA,2025-04-08,0.53,0.63,2025-06-25,,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
DAL,2025-04-09,0.38,0.46,2025-07-09,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
PLAY,2025-04-07,0.71,0.24,2025-06-10,,0.92,1.01,1.01,1.01,1.03,1.06,1.06,1.06,1.06,1.06,1.06,1.06
STZ,2025-04-09,2.28,2.63,2025-07-01,,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.41
WFC,2025-04-11,1.24,1.33,2025-07-15,,1.4,1.4,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41
KMX,2025-04-10,0.65,0.64,2025-06-20,,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
BK,2025-04-11,1.51,1.58,2025-07-15,,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75
MS,2025-04-11,2.2,2.6,2025-07-16,,2.05,2.05,2.06,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05
CALM,2025-04-08,10.91,10.38,2025-07-21,,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02
MAMA,2025-06-03,0.03,0.03,2025-09-08,,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02
